name,ingredients,cuisine,time
Lobster Grilled,lobster butter lemon garlic parsley,American,20
Southern Pecan Pie,pecan egg corn-syrup butter sugar vanilla,American,60
Dirty Rice,rice sausage onion celery pepper garlic,American,30
Steak Diane,beef mushroom cream mustard cognac butter,American,25
Chicken Club Sandwich,chicken bacon lettuce tomato mayo bread,American,15
Churro Waffle,flour egg butter cinnamon sugar vanilla,American,25
Boston Cream Pie,cake cream custard chocolate,American,60
Grilled Corn,corn butter lime chili cheese,American,15
Chicken Bacon Ranch,chicken bacon cheese ranch tortilla,American,20
Peanut Butter Banana Toast,peanut-butter banana bread honey,American,10
Smoked Salmon Bagel,salmon bagel cream-cheese onion caper lemon,American,10
Fried Chicken Sandwich,chicken bun mayo pickle butter,American,25
Cobb Salad,chicken egg avocado bacon tomato lettuce cheese,American,20
Shrimp Cocktail,shrimp cocktail-sauce lemon horseradish,American,15
Beef Wellington American,beef mushroom pastry onion egg,American,90
Blueberry Scone,flour butter blueberry egg cream sugar,American,30
Avocado Chicken Salad,chicken avocado lime onion cilantro,American,15
Sweet Potato Fries,sweet-potato oil salt pepper paprika,American,30
Grilled Asparagus,asparagus butter lemon garlic salt,American,15
Tomato Bisque,tomato cream onion garlic butter basil,American,25
Chicken Caesar Pasta,pasta chicken lettuce parmesan lemon mayo,American,20
Bacon Wrapped Scallop,scallop bacon butter lemon garlic,American,20
Pork Belly Slider,pork-belly bun pickle coleslaw mayo,American,30
Honey Butter Cornbread,cornmeal honey butter egg milk,American,25
Cheeseburger,beef bun cheese lettuce tomato onion,American,20
Mac and Cheese Lobster,lobster pasta gruyere cream butter,American,40
Steak Salad,beef arugula tomato parmesan lemon olive-oil,American,20
Chicken Quesadilla American,chicken tortilla cheese pepper salsa,American,20
Buffalo Cauliflower,cauliflower hot-sauce butter garlic breadcrumb,American,30
Blueberry French Toast,bread egg milk blueberry syrup butter,American,15
Steak Frites,beef potato butter garlic thyme,American,30
Spicy Tuna Bowl,tuna rice avocado sriracha soy cucumber,American,15
Crab Cake,crab egg mayo breadcrumb onion pepper,American,25
Lobster Pasta,lobster pasta cream garlic wine parsley,American,30
Chicken Parmesan,chicken tomato mozzarella parmesan egg breadcrumb,American,35
Turkey Meatball,turkey egg breadcrumb onion garlic tomato,American,30
Grilled Vegetable Sandwich,pepper zucchini onion bread cheese pesto,American,20
Stuffed Mushroom,mushroom cheese breadcrumb garlic onion butter,American,25
Garlic Bread,bread butter garlic parsley cheese,American,15
Banana Nut Bread,banana flour walnut egg butter sugar,American,55
Mango Smoothie Bowl,mango banana granola honey coconut,American,10
Chocolate Chip Cookie,flour butter egg sugar chocolate vanilla,American,25
Lemon Poppy Muffin,flour lemon egg butter milk sugar poppy,American,30
Overnight Oats,oat milk yogurt honey berry chia,American,10
Shakshuka with Chorizo,egg chorizo tomato onion pepper cumin,American,25
Breakfast Burrito,egg sausage cheese pepper onion tortilla,American,20
Huevos Rancheros American,egg tortilla salsa cheese avocado,American,20
Pancake Stack,flour egg milk butter maple banana,American,20
Granola Bowl,granola yogurt honey berry almond,American,10
French Dip Sandwich,beef bun onion broth swiss-cheese,American,25
California Burger,beef bun avocado bacon cheese lettuce,American,20
Korean Fried Chicken,chicken soy garlic ginger sesame chili,Korean,30
Bibimbap,rice egg vegetable beef gochujang sesame,Korean,30
Japchae,noodle beef spinach carrot mushroom soy sesame,Korean,25
Tteokbokki,rice-cake fish-cake gochujang onion scallion,Korean,20
Kimchi Jjigae,kimchi pork tofu onion gochujang scallion,Korean,30
Bulgogi,beef soy pear garlic sesame onion,Korean,25
Galbi,beef-rib soy garlic pear ginger sesame,Korean,30
Sundubu Jjigae,tofu pork mushroom onion egg gochujang,Korean,25
Doenjang Jjigae,soybean-paste tofu zucchini mushroom onion,Korean,25
Samgyeopsal,pork-belly garlic onion sesame kimchi lettuce,Korean,25
Jajangmyeon,noodle pork black-bean onion zucchini,Korean,30
Naengmyeon,buckwheat-noodle egg cucumber radish broth,Korean,20
Haemul Pajeon,pancake shrimp scallion egg flour,Korean,25
Seolleongtang,ox-bone scallion garlic salt noodle,Korean,90
Bossam,pork garlic ginger cabbage shrimp-paste,Korean,60
Gyeranmari,egg scallion carrot oil,Korean,10
Kimchi Bokkeumbap,rice kimchi pork egg scallion,Korean,15
Odeng Guk,fish-cake broth scallion soy daikon,Korean,15
Kongbap,rice black-bean barley sesame,Korean,25
Chap Chae,noodle beef mushroom spinach carrot soy,Korean,25
Gimbap,rice nori beef egg carrot spinach,Korean,30
Dakgalbi,chicken gochujang onion cabbage rice-cake,Korean,25
Budae Jjigae,sausage spam kimchi bean tofu instant-noodle,Korean,25
Hobak Juk,pumpkin rice water sugar salt,Korean,30
Doktorjuk,rice ginger sesame salt scallion,Korean,30
Ramyeon Korean,noodle pork egg scallion kimchi,Korean,15
Gopchang,intestine garlic sesame chili scallion,Korean,30
Maeuntang,fish tofu zucchini onion gochujang,Korean,25
Jeon,flour egg scallion shrimp onion,Korean,20
Haejang Guk,bone-broth cabbage radish scallion garlic bean,Korean,40
Dak Galbi,chicken gochujang onion cabbage scallion,Korean,25
Yuk Gae Jang,beef fern mushroom scallion egg chili,Korean,40
Korean BBQ Pork,pork onion garlic soy sesame gochujang,Korean,20
Sushi,rice nori fish avocado cucumber sesame,Japanese,30
Ramen,noodle pork broth egg nori scallion,Japanese,40
Tempura,shrimp vegetable flour egg soy dashi,Japanese,25
Miso Soup,miso tofu seaweed scallion dashi,Japanese,15
Teriyaki Chicken,chicken soy mirin sake sugar garlic,Japanese,25
Takoyaki,flour octopus egg scallion bonito mayo,Japanese,30
Onigiri,rice nori salmon sesame,Japanese,15
Okonomiyaki,flour egg cabbage pork shrimp bonito mayo,Japanese,30
Gyoza,pork cabbage garlic ginger wrapper soy,Japanese,25
Udon Noodle Soup,udon broth egg scallion fish-cake mushroom,Japanese,20
Soba Salad,soba cucumber carrot sesame soy mirin,Japanese,15
Karaage,chicken soy garlic ginger flour sesame,Japanese,25
Beef Donburi,beef rice egg onion soy mirin,Japanese,20
Tonkatsu,pork egg breadcrumb flour cabbage tonkatsu,Japanese,25
Chawanmushi,egg dashi shrimp mushroom mirin soy,Japanese,20
Sukiyaki,beef tofu mushroom onion scallion soy mirin,Japanese,30
Mochi,glutinous-rice sugar bean-paste,Japanese,30
Yakitori,chicken scallion soy mirin sugar,Japanese,20
Shabu Shabu,beef tofu vegetable mushroom broth ponzu,Japanese,25
Katsudon,pork egg rice onion soy mirin,Japanese,25
Zaru Soba,soba nori scallion soy mirin dashi,Japanese,15
Somen,noodle dashi soy mirin scallion,Japanese,10
Yaki Udon,udon pork vegetable soy sesame,Japanese,20
Tamago Gohan,rice egg soy sesame,Japanese,10
Matcha Ice Cream,matcha cream milk sugar egg,Japanese,30
Daifuku,glutinous-rice bean-paste sugar,Japanese,25
Chicken Katsu Curry,chicken breadcrumb onion carrot potato curry,Japanese,35
Shoyu Ramen,noodle pork soy broth scallion egg nori,Japanese,40
Hiyashi Chuka,noodle egg cucumber ham sesame soy,Japanese,20
Agedashi Tofu,tofu dashi soy mirin katakuriko scallion,Japanese,20
Oyakodon,chicken egg onion rice soy mirin,Japanese,20
Yakisoba,noodle pork cabbage carrot onion sauce,Japanese,20
Miso Glazed Salmon,salmon miso mirin soy sugar,Japanese,20
Tamago Sando,egg mayo bread sugar milk,Japanese,10
Nikujaga,beef potato onion carrot soy mirin,Japanese,35
Mentaiko Pasta,pasta cod-roe butter garlic lemon cream,Japanese,20
Chirashi Sushi,rice fish shrimp egg avocado cucumber,Japanese,20
Chanko Nabe,chicken tofu mushroom vegetable broth scallion,Japanese,35
Inari Sushi,rice tofu-pouch sesame sugar soy,Japanese,20
Hitsumabushi,eel rice dashi wasabi nori scallion,Japanese,30
Tamagoyaki,egg mirin soy sugar,Japanese,15
Kushiyaki,pork chicken scallion mushroom soy,Japanese,20
Dorayaki,pancake egg sugar flour bean-paste,Japanese,25
Paella,rice shrimp mussel chicken saffron onion,Spanish,45
Gazpacho,tomato cucumber pepper onion garlic olive-oil,Spanish,15
Tortilla Española,egg potato onion olive-oil,Spanish,30
Patatas Bravas,potato tomato chili garlic oil,Spanish,30
Croquetas,ham bechamel egg breadcrumb milk flour,Spanish,30
Churros Español,flour butter egg sugar oil,Spanish,25
Albondigas Español,beef pork onion tomato garlic egg,Spanish,40
Gambas al Ajillo,shrimp garlic olive-oil chili parsley,Spanish,15
Pimientos de Padrón,pepper olive-oil salt,Spanish,10
Fabada Asturiana,sausage bean chorizo paprika onion garlic,Spanish,90
Pulpo a la Gallega,octopus potato paprika olive-oil,Spanish,60
